id,author_name,role,book_list,book_count
1094,"Mather, Christine",,['Santa Fe style'],1
1095,"Klann, Edward",,['Santa Fe: the city in photographs'],1
1096,"Clark, William",,['Santa Fe: the city in photographs'],1
1097,"Tzonis, Alexander",,"['Santiago Calatrava: the complete works', 'Santiago Calatrava: the poetics of movement']",2
1098,"Burke, Catherine",,['School'],1
1099,"Grosvenor, Ian",,['School'],1
11,"Oldfield, Claire",editor,['50 design questions answered'],1
110,"Dalton, Nicholas et al",,['Architecture and interaction: human computer interaction in space and place'],1
1100,"O'Dell, John",,"['School buildings : planning, design and construction']",1
1101,"Meuser, Natascha",editor,['School buildings: construction and design manual'],1
1102,"Hofmeister, Sandra",editor,"['Sports facilities: leisure and movement in urban space', 'School buildings: spaces for learning and the community']",2
1103,"Sanoff, Henry",,['School design'],1
1104,"Walden, Rotraut",,['Schools for the future: design proposals from architectural psychology'],1
1105,"Linder, Mark",,['Scogin Elam and Bray : crititcal architecture/architectural criticism'],1
1106,"Burry, Mark",,"['Scripting cultures: architectural design and programming', 'The New mathematics of architecture']",2
1107,"Proudfoot, Peter",,['Secret plan of Canberra'],1
1108,Australian Security Intelligence Organisation (ASIO),,['Security Equipment Catalogue (SEC) 2011'],1
1109,"Spearritt, Peter",,['Seeing Brisbane  1881-2001'],1
111,"Jones, David Lloyd",,['Architecture and the environment : bioclimatic building design'],1
1110,"Capelli, Lucas",,['Self-fab house : 2nd Advanced Architecture Contest'],1
1111,Institute of Advanced Architecture of Catalonia [IAAC],,['Self-fab house : 2nd Advanced Architecture Contest'],1
1112,"Stead, Naomi",editor,"['Semi-detached: writing, presentation and criticism in architecture']",1
1113,"Read, Peter",editor,['Settlement: a history of Australian indigenous housing'],1
1114,"Parkyn, Neil",,"[""Super structures : the world's greatest modern structures"", 'Seventy architectural wonders of our world']",2
1115,"Colomina, Beatriz",editor,['Sexuality &  space'],1
1116,"Griffiths, Simon",,['Shack: in praise of an Australian icon'],1
1117,"Roberts, Dale",,['Shadows in the mist: Australian Aboriginal myths in paintings'],1
1118,"Roberts, Ainslie",,['Shadows in the mist: Australian Aboriginal myths in paintings'],1
1119,"Redstone, Elias",,['Shooting space: architecture in contemporary photography'],1
112,FJMT (Francis-Jones Morehen Thorp),,['Architecture as material culture: the work of Francis-Jones Morehen Thorp'],1
1120,"Holden, Kimberley (et al)",,['Shop Architects: out of practice'],1
1121,"Scott, Joanne",,['Showtime: a history of the Brisbane Exhibition (Ekka)'],1
1122,"Laurie, Ross",,['Showtime: a history of the Brisbane Exhibition (Ekka)'],1
1123,"Suzuki, Hiroyuki",,['Shuhei Endo : paramodern architecture'],1
1124,"Uebele, Andreas",,['Signage systems & information graphics: a professional sourcebook'],1
1125,"Kling, Beate",,['Signage: spatial orientation'],1
1126,"Kruger, Torsten",,['Signage: spatial orientation'],1
1127,"Flora, Nicola",editor,['Sigurd Lewerentz'],1
1128,"Dunn, John",,['Sirius'],1
1129,"Peake, Ben",,['Sirius'],1
113,"Mazlin, Brian",,['Architecture by team: Devine Erby Mazlin'],1
1130,"Piscopo, Amiera",,['Sirius'],1
1131,"Burns, Carol",editor,"['Site matters: design concepts, histories, and strategies']",1
1132,"Ho¨weler, Eric",,['Skyscraper: designs of the recent past and for the near future'],1
1133,"Dupre, Judith",,"[""Skyscrapers : a history of the world's most famous and important skyscrapers""]",1
1134,Atlantics,,['Slides'],1
1135,"Tranter, Paul",,['Slow cities: conquering our speed addiction for health and sustainability'],1
1136,"Tolley, Rodney",,['Slow cities: conquering our speed addiction for health and sustainability'],1
1137,"Weinberger, David",,['Small pieces loosely joined : a unified theory of the web'],1
1138,"Linn, Robert",,['Small scale: creative solutions for better city living'],1
1139,"Moskow, Keith",,['Small scale: creative solutions for better city living'],1
114,"Gerner, Pem",,['Architecture by team: Devine Erby Mazlin'],1
1140,"Bitgood, Stephen",,['Social design in museums: the psychology of visitor studies - Collected essays Volume two'],1
1141,"Sim, David",,['Soft city: building density for everyday life'],1
1142,"Bell, Michael",,['Solid states: concrete in transition'],1
1143,"Buckley, Craig",,['Solid states: concrete in transition'],1
1144,"Ling, Ted",,"['Solid, safe, secure: building archives repositories in Australia']",1
1145,"Raeburn, Ray",editor,"['Solomon R Guggenheim Museum, New York']",1
1146,"Tate, Alan",,['Solutions for a sustainable future'],1
1147,"Neale, MargoLynne",,['Songlines: the power and promise'],1
1148,"Adams, Tyler",,['Sound materials: a compendium of sound absorbing materials for architecture and design'],1
1149,"Parish, Steve",,['Souvenir of Canberra'],1
115,"Bergsagel, Victoria",,['Architecture for achievement: building patterns for small school learning'],1
1150,"Feireiss, Lukas",,"['Space craft: fleeting architecture and hideouts', 'Space craft 2: more fleeting architecture and hideouts']",2
1151,"Masaaki, Hiromura",,['Space graphysm'],1
1152,"Hillier, Bill",,['Space is the machine : a configurational theory of architecture'],1
1153,Tertiary Education Facilities Management Association (TEFMA),,['Space planning guidelines'],1
1154,"Groves, Kursty",,['Spaces for innovation: the design and science of inspiring environments'],1
1155,"Marlow, Oliver",,['Spaces for innovation: the design and science of inspiring environments'],1
1156,"Plummer, Henry",,"['Special issue : Masters of light. first volume., twentieth-century pioneers']",1
1157,"Clark, Ross",,['Specifying trees : a guide to assessment of tree quality'],1
1158,"Lovell, Julia",,['Splendidly fantastic: architecture and power games in China'],1
1159,Victoria. Department of Sport and Recreation,,['Sport and recreation access for all : a guide to the design of accessible indoor and outdoor recreation and sporting facilities'],1
116,International Association of Homes and Services for the Ageing,,['Architecture for an ageing population'],1
1160,"Sheard, Rod",,"['Stadia: the populous design and development guide', 'The Stadium : architecture for the new global culture', 'Stadia : a design and development guide']",3
1161,"Zeng, Tao",,['Sports buildings design mamual'],1
1162,"Kuosmo, Kari",editor,['Sports facilities in Finland 1980-2000'],1
1163,"Puhalla, Jim",,"['Sports fields: design, construction and maintenance']",1
1164,"Leeuwen, Thomas A P van",,['Springboard in the pond : an intimate history of the swimming pool'],1
1165,UTS University of Technology,,"['SR2 Systems Reef 2.0: inspired by nature, shaped for air, designed for change']",1
1166,"Titchkosky, Ninotschka",,"['SR2 Systems Reef 2.0: inspired by nature, shaped for air, designed for change']",1
1167,"Bickerton, Chris",,"['SR2 Systems Reef 2.0: inspired by nature, shaped for air, designed for change']",1
1168,"Schork, Tim",,"['SR2 Systems Reef 2.0: inspired by nature, shaped for air, designed for change']",1
1169,"Page, Mitchell",,"['SR2 Systems Reef 2.0: inspired by nature, shaped for air, designed for change']",1
117,"Scott, Sarah",,['Architecture for children'],1
1170,"John, Geraint",,"['Stadia: the populous design and development guide', 'Stadia : a design and development guide']",2
1171,"Culley, Peter",,['Stadium engineering'],1
1172,"Pascoe, John",,['Stadium engineering'],1
1173,"Jiricna, Eva",,['Staircases'],1
1174,"Jansma, Rein",,['Stairs'],1
1175,"San Pietro, Silvio",,['Stairs 2'],1
1176,"Gallo, Paola",,['Stairs 2'],1
1177,"Philippi, Simone",editor,['Starck'],1
1178,"Koch-Nielsen, Holger",,['Stay cool: a design guide for the built environment in hot climates'],1
1179,"Gorenc, Branko",,"[""Steel designers' handbook""]",1
118,"Boekel, Andrea",editor,['Architecture for healthcare'],1
1180,"Davis, Margaret Hancock",editor,['Steel: art design architecture'],1
1181,ASCD,,['Stem for all'],1
1182,"Fisher, Rodney",,['Story of Sydney [as it has never been told]'],1
1183,"Marshall, Stephen",,['Streets and patterns'],1
1184,"Cava, John",,['Studies in tectonic culture: the poetics of construction in nineteenth and twentieth century architecture'],1
1185,"Frankham, Noel",,"[""Study of Sydney's arts facilities commissioned by the Sydney City Council""]",1
1186,Centre for Subtropical Design,,"['Subtropical design in South East Queensland: a handbook for planners, developers and decision makers']",1
1187,"Kennedy, Rosemary",,"['Subtropical design in South East Queensland: a handbook for planners, developers and decision makers']",1
1188,"Hoiting, Harry",,['Sun and architecture'],1
1189,"Brown, G Z",,"['Sun, wind and light : architectural design strategies']",1
119,"Koster, Egbert",,['Architecture for nature'],1
1190,"DeKay, Mark",,"['Sun, wind and light : architectural design strategies']",1
1191,"Phillips, R O",,['Sunshine and shade in Australasia'],1
1192,"Lootsma, Bart",,['SuperDutch : new architecture in the Netherlands'],1
1193,"Richardson, Phyllis",,"['XS : big ideas, small buildings', 'Superlight: lightness in contemporary houses']",2
1194,"Crary, Jonathon",,"['Suspensions of perception: attention, spectacle, and modern culture']",1
1195,"Gauzin-Muller, Dominique",,"['Sustainable architecture and urbanism : concepts, technologies, examples']",1
1196,Earth Pledge Foundation,,['Sustainable architecture white papers'],1
1197,"Guenther, Robin",,['Sustainable healthcare architecture'],1
1198,"Vittori, Gail",,['Sustainable healthcare architecture'],1
1199,"Mobbs, Michael",,['Sustainable house: living for our future'],1
12,Arup,,['50 stories explored'],1
120,"Crosbie, Michael",,"['Architecture for science', 'Architecture for the books']",2
1200,"Farr, Douglas",,['Sustainable urbanism: urban design with nature'],1
1201,"Postiglione, Gennaro",,"['Sverre Fehn : works, projects, writings, 1949-1996']",1
1202,"Jordan, Bibi",,['Swahili chic: living in style on the East African coast'],1
1203,"Wakely, Mark",,"[""Sweet sorrow: a beginner's guide to death""]",1
1204,"Spier, Steven",,['Swiss made: new architecture from Switzerland'],1
1205,"Heath, Chip",,['Switch: how to change things when change is hard'],1
1206,"Heath, Dan",,['Switch: how to change things when change is hard'],1
1207,"Thompson, Christopher",,['Sydney : history of a landscape'],1
1208,"Jahn, Graham",,['Sydney Architecture : a guide'],1
1209,"Gunter, John",,['Sydney by ferry and foot'],1
121,"Sturzebecher, Peter",,['Architecture for sport'],1
1210,"Dirks, Jo",,['Sydney downtown'],1
1211,"Cottier, Keith",editor,"['Sydney faces, special places']",1
1212,Property Services Group,,['Sydney Fish Market Masterplan'],1
1213,"Rayner, Michael",,['Sydney since the Opera House : an architectural walking guide'],1
1214,Rider Hunt,,['Sydney since the Opera House : an architectural walking guide'],1
1215,"Mackaness, Caroline",,['Sydney then & now'],1
1216,"Jaworski, Joseph",,['Synchronicity: the inner path of leadership'],1
1217,"Hubner, Matthias",,['Tactile: high touch visuals'],1
1218,"Tezuka, Takaharu",,"['Takaharu + Yui Tezuka architecture catalogue', 'Takaharu + Yui Tezuka architecture catalogue 3', 'Takaharu + Yui Tezuka architecture catalogue 2']",3
1219,"Tezuka, Yui",,"['Takaharu + Yui Tezuka architecture catalogue', 'Takaharu + Yui Tezuka architecture catalogue 3', 'Takaharu + Yui Tezuka architecture catalogue 2']",3
122,"Ulrich, Sigrid",,['Architecture for sport'],1
1220,"Newton, Clare",editor,['Take 8: learning spaces: the transformation of educational spaces for the 21st century'],1
1221,"Fisher, Kenn",editor,['Take 8: learning spaces: the transformation of educational spaces for the 21st century'],1
1222,"Corner, James",,['Taking measures across the American landscape'],1
1223,"MacLean, Alex",,['Taking measures across the American landscape'],1
1224,"Freestone, Robert",editor,"['Talking about Sydney: population, community and culture in contemporary Sydney']",1
1225,"Tamboli, Akbar",editor,['Tall and supertall buildings: planning and design'],1
1226,"Henry, Steven",,"['Tall Buildings + Urban Habitat Volume 1', 'Tall Buildings + Urban Habitat Volume 2']",2
1227,"Reed, Dimity",editor,['Tangled destinies: National Museum of Australia'],1
1228,"Andersen, Joe",,"[""Tattersall's Club, Sydney, 1858-1983""]",1
1229,"White, Michael",,['TC Beirne School of Law: a history'],1
123,American Society of Architectural Illustrators (ASAI),,"['Architecture in perspective 26', 'Architecture in perspective 27']",2
1230,Association of British Theatre Technicians,,"['Technical standards for places of entertainment', 'Theatre buildings: a design guide', 'Theatre engineering and architecture']",3
1231,"Adams, Davis",editor,['Technical standards for places of entertainment'],1
1232,"Daniels, Klaus",,"['Technology of ecological building : basic principles, examples and ideas']",1
1233,Institution of Structural Engineers,,"['Temporary demountable structures : guidance on design, procurement and use']",1
1234,"Balmforth, Scott",editor,['Terroir: cosmopolitan ground'],1
1235,"Reinmouth, Gerard",editor,['Terroir: cosmopolitan ground'],1
1236,"Redwood, Ben",,"['The 3D printing handbook: technologies, design and applications']",1
1237,"Easterling, Leller",,"[""The Action is form: Victor Hugo's Ted Talk""]",1
1238,"Kleiner, Art",,['The age of heretics: a history of the radical thinkers who reinvented corporate management'],1
1239,"Carpo, Mario",,"['The Alphabet and the algorithm', 'The Second digital turn: design beyond intelligence']",2
124,"Kolarevic, Branko",editor,"['Building dynamics: exploring architecture of change', 'Architecture in the digital age : design and manufacturing']",2
1240,"De Botton, Alain",,"['The pleasures and sorrows of work', 'The Architecture of happiness']",2
1241,"Heathcote, Edwin",,"[""The Architecture of hope: Maggie's cancer caring centres""]",1
1242,"Jencks, Charles",,"['The Universe in the landscape: landforms', ""The Architecture of hope: Maggie's cancer caring centres""]",2
1243,"Rostenberg, Bill",,"['The Architecture of imaging', 'The Architecture of medical imaging']",2
1244,"Drexler, Arthur",,['The architecture of Japan'],1
1245,"Hess, Alan",,['The Architecture of John Lautner'],1
1246,"Weintraub, Alan",,['The Architecture of John Lautner'],1
1247,"Lautner, John",,['The Architecture of John Lautner'],1
1248,"Henley, Simon",,['The Architecture of parking'],1
1249,"Andersen, Paul",,['The architecture of patterns'],1
125,"Metcalf, Andrew",,"['Architecture in transition : the Sulman Award 1932 - 1996', 'Aurora Place Renzo Piano Sydney', 'Thinking architecture : theory in the work of Australian architects']",3
1250,"Salomon, David",,['The architecture of patterns'],1
1251,"Rossi, Aldo",,['The Architecture of the city'],1
1252,"Banham, Reyner",,"['The architecture of the well-tempered environment', 'Theory and design in the first machine age', 'The Architecture of Yorke Rosenberg Mardall 1944-1972']",3
1253,"McMorrough, Julia",,['The Architecture reference + specification book: everything architects need to know every day'],1
1254,"Hunt, John",,['The art of the idea: and how it can change your life'],1
1255,"Veldhoen, Erik",,"['The Demise of the office: the digital workplace in a thriving organisation', 'The Art of working']",2
1256,"Pell, Ben",,['The articulate surface: ornament and technology in contemporary architecture'],1
1257,"Freeman, Peter",editor,['The Australian Dwelling'],1
1258,"Saini, Balwant",,['The Australian house: homes of the tropical north'],1
1259,"Droste, Magdalena",,['The Bauhaus 1919 -1933: reform and avant-garde'],1
126,"Buch, Joseph",,['Architecture inspired by Australia'],1
1260,"Phillips, Alan",,['The Best in leisure and public architecture'],1
1261,"Friedman, Ron",,['The best place to work: the art and science of creating an extraordinary workplace'],1
1262,"Yakeley, Diana",,['The BIID interior design job Book: how to run a project'],1
1263,"Yakeley, Stephen",,['The BIID interior design job Book: how to run a project'],1
1264,"Holzer, Dominik",,"[""The BIM manager's handbook: guidance for professionals in architecture, engineering, and construction""]",1
1265,Info-Link Architecture & Design,,['The Book 2012'],1
1266,"Marshall, Sam",editor,['The Breeze block book'],1
1267,"Ward, Maitiu´",editor,['The Breeze block book'],1
1268,"Saunt, Deborah",editor,['The Business of research: knowledge and learning redefined in architectural practice'],1
1269,"Kaufman, James",editor,['The Cambridge handbook of creativity'],1
127,"Sullivan, David",,['Architecture inspired by Australia'],1
1270,"Sternberg, Robert",editor,['The Cambridge handbook of creativity'],1
1271,"Raymond, Eric",,['The cathedral and the bazaar : musings on linux and open source by an accidental revolutionary'],1
1272,"Smithson, Alison",,['The Charged void: urbanism'],1
1273,"Smithson, Peter",,['The Charged void: urbanism'],1
1274,"Gawande, Atul",,['The Checklist manifesto : how to get things right'],1
1275,"Bradley, Frederick",,"['The Choice of dimension stone in architecture : aesthetic, technical and commercial characteristics of natural stone']",1
1276,"Karskens, Grace",,['The Colony: a history of early Sydney'],1
1277,"Gray, David",,['The Connected company'],1
1278,"Tharp, Twyla",,['The creative habit : learn it and use it for life : a practical guide'],1
1279,"Jacobs, Jane",,['The Death and life of great American cities'],1
128,"Wijaya, Made",,"['Tropical garden design', 'Architecture of Bali : a sourcebook of traditional and modern forms']",2
1280,"Bangay, Paul",,['The Defined garden: the garden design of Paul Bangay'],1
1281,"Nokes, Sebastian",,['The definitive guide to project management : the fast trak to getting the job done on time and on budget'],1
1282,"Kelly, Sean",,['The definitive guide to project management : the fast trak to getting the job done on time and on budget'],1
1283,"Goodbun, Jon",,['The Design of scarcity'],1
1284,"Augustin, Sally",,"[""The Designer's guide to doing research: applying knowledge to inform design""]",1
1285,"Coleman, Cindy",,"[""The Designer's guide to doing research: applying knowledge to inform design""]",1
1286,"Lange, Alexandra",,['The Dot-com city: Silicon Valley urbanism'],1
1287,"Zeiher, Laura",,['The Ecology of architecture: a complete guide to creating the environmentally conscious building'],1
1288,"Mills, Frank",,"[""The Ekka : the people and events of Brisbane's Royal National Agricultural and Industrial Association Show""]",1
1289,"Kissane, Erin",,['The Elements of content strategy'],1
129,"Wagenaar, Cor",editor,['Architecture of hospitals'],1
1290,"Johnson, W Brad",,['The elements of mentoring'],1
1291,"Ridley, Charles R",,['The elements of mentoring'],1
1292,"Willis, Julie",editor,['The Encyclopedia of Australian architecture'],1
1293,"Marlow, Peter",,['The English cathedral'],1
1294,"Abel, Chris",,"['The Extended self: architecture, memes and minds']",1
1295,"Fraser, H",,"[""The Federation house : Australia's own style""]",1
1296,"Joyce, R",,"[""The Federation house : Australia's own style""]",1
1297,"Hubbard, Graham",,['The first XI : winning organisations in Australia'],1
1298,"Currie, John Michael",,['The Fourth factor:  a historiacl perspective on architecture and medicine'],1
1299,"Moussavi, Farshid",,"['The function of form', 'The Function of style']",2
13,"McCartney, Karen",,"['50/60/70: iconic Australian houses: three decades of domestic architecture', '70/80/90 Iconic Australian houses: three decades of domestic architecture']",2
130,"Powell, Robert",,"['Rethinking the skyscraper: the complete architecture of Ken Yeang', 'Architecture of learning : new Singapore schools']",2
1300,"Wuject, Thom",,['The Future of making: understanding the forces shaping how and what we create'],1
1301,"Susskind, Ricahrd",,['The Future of the professions: how technology will transform the work of human experts'],1
1302,"Susskind, Daniel",,['The Future of the professions: how technology will transform the work of human experts'],1
1303,"Malone, Thomas W",,"['The future of work: how the new order of business will shape your organization, your management style and your life']",1
1304,"Hix, John",,['The Glasshouse'],1
1305,"Kamper, Erich",,['The Golden book of the Olympic Games'],1
1306,"Mallon, Bill",,['The Golden book of the Olympic Games'],1
1307,"Becker, Kristen",,['The Good office: green design on the cutting edge'],1
1308,"Riordan, John",,['The Good office: green design on the cutting edge'],1
1309,"Anthes, Emily",,"['The Great indoors: the surprising science of how buildings shape our behavior, health, and happiness']",1
131,"Mertens, Brian",,['Architecture of Thailand: a guide to traditional and contemporary forms'],1
1310,"Kirklin, Deborah",editor,['The Healing environment: without and within'],1
1311,CWPLUS,,['The Healings arts: the arts project at Chelsea and Westminster Hospital'],1
1312,"Champakalakshmi, R",,['The Hindu temple'],1
1313,Australian War Memorial,,"['Victory : 1945, war & peace', 'The History of the Australian War Memorial']",2
1314,"Creswell, H B",,['The honeywood settlement'],1
1315,"Levitt, David",,['The housing design handbook: a guide to good practice'],1
1316,"Rykwert, Joseph",,"['The Idea of a town: the anthropology of urban form in Rome, Italy and the ancient world', 'The Judicious eye: architecture against the other arts', 'The Seduction of place: the city in the twenty-first century']",3
1317,"Middleton, Robin",,['The Idea of the city'],1
1318,"Marquis-Kyle, Peter",,['The Illustrated Burra Charter [The Burra Charter : the Australia ICOMOS charter for the conservation of places of cultural significance]'],1
1319,"Walker, Meredith",,['The Illustrated Burra Charter [The Burra Charter : the Australia ICOMOS charter for the conservation of places of cultural significance]'],1
132,Nithi Satha¯pita¯non,,['Architecture of Thailand: a guide to traditional and contemporary forms'],1
1320,"Olgiati, Valerio",,['The Images of architects: 44 collections by unique architects'],1
1321,Monodraught,,['The Importance of natural ventilation and daylight in schools'],1
1322,BHP Billiton,,['The Inside story: 480 Queen'],1
1323,"Reed, Bill",,['The Integrative design guide to green building: redefining the practice of sustainability'],1
1324,7group,,['The Integrative design guide to green building: redefining the practice of sustainability'],1
