Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
50 design questions answered,"ARUP|Oldfield, Claire (ed)","London: Wardour, 2013",Architectural Design|Structural Design,729 FIF,Sydney,8/13/2015,
50 stories explored,Arup,"London: Wardour, 2015",Cities and Towns|Urbanism|Urban Planning,307.76 ARUP,Brisbane,,26/07/2018
50/60/70: iconic Australian houses: three decades of domestic architecture,"McCartney, Karen","Sydney: Murdoch Books, 2011",Houses - Australia - Design and Construction,728. 0994 McC,Brisbane|Sydney,14/01/2016,14/01/2016
50+ great bathrooms by architects,"Hasanovic, Aisha ed","Melbourne: Images Publishing, 2005",BVN Architecture (Bligh Voller Nield)|Bathrooms,747.78 HAS,Brisbane,,25/10/2005
500 tables : inspiring interpretations of function and style,"Hemachandra, Ray|Hale, Julie","New York: Lark Books, 2009",Tables,729 HEM,Brisbane,,4/05/2010
70/80/90 Iconic Australian houses: three decades of domestic architecture,"McCartney, Karen","Sydney: Murdoch Books, 2007",Houses - Australia - Design and Construction,728.0994 McC,Brisbane|Sydney,2/03/2016,20/11/2007
9006 days of design,"Romer, Mike",,"Interior Design|Sorensen, Johnny|Thygesen, Rud",749 NIN,Brisbane,,
A & U - Peter Zumthor,,"Tokyo: a+u Publishing, 1998","Zumthor, Peter",720.92 ZUM,Brisbane,,
A green vitruvius: principles and practice of sustainable architectural design,,"London: James & James, 1999",Environmentally Sustainable Design (ESD),720.47 GRE,Brisbane,,19/10/2007
A Guide to office building quality 2019,Property Council of Australia (PCA),"Sydney, NSW: Property Council of Australia, 2019",Office Buildings - Australia|Office Fitouts,725.23 GUI 2019 Reference,Brisbane|Sydney,16/07/2019,3/09/2019
A History of English brickwork: with examples and notes of the architectural use and manipulation of brick from mediaeval times to the end of the Georgian period,"Lloyd, Nathaniel|Manfield, Leslie","London: H A Montgomery, 1934",Brickwork|Bricks,693.2 LLO,Sydney,6/28/2011,
A history of interior design,"Pile, John","London : Laurence King, 2009",Interior Design - History,747.09 PIL,Brisbane,,12/10/2009
A human thing: public #5 sustainability. Volume 01,Woods Bagot,"Melbourne: Woods Bagot, 2008",Sustainable development,720.47 WOO,Sydney,3/26/2012,
A Land use plan for the ACT,,"Canberra: NCDC, 1975",Urban Planning - Canberra,Archives SYD01511322,Sydney,12/21/2010,
A Lighting design point of view,Point of View (POV),"[Sydney]: Point of View, [2012]",Lighting|Light in Architecure,729 POV,Brisbane|Sydney,1/09/2013,2/21/2013
"A Pattern language : towns, buildings, construction","Alexander, Christopher","New York: Oxford University Press, 1977",Semiotics|Symbolism in Architecture|Urban Planning,711.4 ALE,Brisbane|Sydney,1/06/2021,5/03/2019
A pocketful of beach houses,"Crafti, Stephen","Mulgrave, Vic. : Images Publishing, 2009","Beach Houses|Thompson, Shane",728.72 POC,Brisbane,,8/05/2009
A Practitioner's guide to evidence based design,"Centre for Health Design|Harris, Debra D (et al)","California: The Centre for Health Design, 2008",Evidence-based Design,725.51 PRA,Brisbane|Sydney,15/01/2009,14/09/2009
"A Report by the National Capital Development Commission on the siting, planning and dseign of the Houses of Parliament, Canberra",,,,Archives SYD01511323,Sydney,12/22/2010,
A River with a city problem: a history of Brisbane floods,"Cook, Margaret","St Lucia, QLD: University of Queensland Press, 2019",Floods|Floods - Brisbane,994.31 COO,Brisbane,,3/24/2022
A sense of entry: designing the welcoming school,"Ford, Alan","Australia: Images Publishing Group, 2007",Educational Buildings,727 FOR,Sydney,12/02/2010,
A short history of Brisbane architecture: including Ipswich and the Sunshine Coast,"Bingham-Hall, Patrick","Balmain, N.S.W. : Pesaro Publishing, 2001",Architecture - Brisbane|Architecture - Brisbane - History,725.099431 BIN,Brisbane,,26/06/2009
A Visual dictionary of architecture,"Ching, Francis D K","New York: John Wiley & Sons, 1995",Architecture - Dictionaries,720.3 CHI Reference,Brisbane|Sydney,26/04/2006,5/05/2006
A Visual reference for evidence-based design,"Malkin, Jain","USA: The Centre for Health Design, 2008",Evidence-based Design|Hospitals,725.51 MAL,Brisbane|Sydney,,
Aalto: 10 selected houses,"Saito, Yukaka","Tokyo: Toto, 2008","Aalto, Alvar|Architects - Finland|Houses - Finland",720.92 AAL,Sydney,7/29/2014,
Aboriginal camp sites of greater Brisbane: an historical guide,"Kerkhove, Ray","Salisbury,Qld: Boolarong Press, 2015",Aboriginal Australians - Queensland|Historic Sites - Australia,994.31 KER,Brisbane,,1/07/2019
Aboriginal string bags: nets and cordage,"West, Alan|Museum of Victoria","Melbourne: Museum Victoria, 2006",Aboriginal Australians|Weaving|String Craft|Fishing Nets,746.41 WES,Sydney,7/12/2016,
Absolutely public: crossover: art and architecture,"Lehmann, Steffen","Melbourne: Images Publishing Group, 2005","Architecture, Modern - 21st Century|Art",709.04074 ABS,Brisbane,,5/06/2006
Abundant: Australian Pavilion 11th International Architecture Exhibition la Biennale di Venezia 2008,"Durbach, Neil (ed) et al","Barton, ACT: Australian Institute of Architects, 2008",Architecture - Exhibition - Venice - 2008|2008 Venice Architecture Biennale,720.994 ABU,Brisbane|Sydney,26/11/2008,17/11/2008
Accessible architecture: age and disability-friendly planning and building in the 21st century,"Fischer, Joachim|Meuser, Philipp","Berlin: Dom Publishers, 2009",Access and Egress|Disabled Access,720.87 FIS,Sydney,7/29/2014,
Accessible city : an integrated transport strategy for Central Sydney,Sydney City Council,"Sydney: Sydney City Council, 1994?",Urban Planning - Sydney|Public Transport - Sydney,Reference,Sydney,25/05/2005,
ACORN Standards for perioperative nursing 2010 - 2011,Australian College of Operating Room Nurses (ACORN),"South Australia: ACORN, 2010-2011",Operating Theatres|Standards - Australia,610.73 ACO,Brisbane,,12/10/2011
"Acoustics and sound insulation: principles, planning, examples","Mommertz, Eckard","Basel: Birkha¨user, 2009",Acoustics|Sound and Vibration,729.29 DET,Sydney,6/26/2012,
Across the plaza: the public voids of the post-Soviet city,"Hatherley, Owen","[Moscow]: Strelka Press, 2012",,Strelka Press,Sydney,3/10/2015,
ACT Environment strategy: draft for public comment,,,,Archives SYD01511323,Sydney,12/22/2010,
ACT Land Development & Administration: a general guide to land development and administration in the Australian Capital Territory,,"Canberra: AGPS, 1974",Urban Planning - Canberra,Archives SYD01511322,Sydney,12/21/2010,
Active learening spaces,Steelcase,"US: Steelcase, [nd]",Learning Spaces|Schools|Offices,727 STE,Sydney,29/06/2017,
Admiralty House : a plan prepared for the Department of Housing and Construction,"Kerr, John Semple","Sydney: National Trust of Australia (NSW), 1987",Conservation and Restoration|Historic Buildings - NSW,720.99441 KER,Sydney,25/05/2005,
Adobes in the sun,"Baer, Morley|Fink, Augusta",[np]: Chronicle Books: 1980,Adobe Architecture,979.4 BAE,Brisbane,,
AE200: 8th Spanish Architecture Biennial,,"Madrid: Bienal de Arquitectura Espanola, [2005]",Architecture - Spain,720.946 ARC,Sydney,29/01/2009,
"Aesthetics, well-being and health : essays within architecture and environmental aesthetics","Cold, Birgit (ed)","UK: Ashgate, 2001",Aesthetics|Hospitals - Design and Construction,720.1 AES,Sydney,21/01/2008,
African interior design,"Bahamon, Alejandro","UK: teNeues, 2003",Interior Design - Africa,747.0960222 AFR,Brisbane,,5/12/2007
African style,"Guibourge, Stephane","Paris: Flammarion, 2000",Interior Design - Africa,747.205 GUI,Brisbane,,
African style,,"Koln: Taschen, 2005",Interior Design - Africa,747.960 AFR,Brisbane,,4/12/2007
After crisis: contemporary architectural conditions,"Mateo, Jose Luis|Ivanisin, Krunoslav","Baden : Lars Mu¨ller ; London : Springer [distributor], 2010",Architectural Practice,724.7,Brisbane,,11/07/2011
Agenda 2008,"Burns, David (ed)","Sydney: DAB Documents, 2009",Schools of Architecture,720.994 UTS,Sydney,18/08/2010,
Aging and cognition: research methodologies and empirical advances,"Bosworth, Hayden (ed)","US: APA, 2009",Aged Care|Dementia|Cognitive Development,155.6713 AGE,Brisbane,,10/20/2014
Airport design,,"Koln: Daab, 2005",Airports,725.39 AIR,Brisbane,,20/11/2007
Airport planning and management,"Wells, Alexander","US: Tab Books, 1986",Airports,725.39 WEL,Sydney,20/02/2006,
Airports: a century of architecture,"Pearman, Hugh","London, United Kingdom: Laurence King, 2004",Airports,725.39 PEA,Brisbane,,17/11/2006
Aldo Rossi : Documetni Di Architettura,,"Milan: Electa, 1999","Rossi, Aldo",720.92 ROS,Brisbane,,
Alex Popov Architects: selected works 1999-2007,"Johnson, Anna","Balmain, NSW: Pesaro Publishing, 2008","Popov, Alex",720.92 POP,Brisbane|Sydney,18/03/2008,14/01/2008
Alfred Mcalpine Stadium,,,Stadiums - Australia,725.8043 ALF Brochure,Sydney,22/02/2006,
Allen Jack + Cottier: 1952-2002,"Howells, Trevor","Sydney: Focus Pubublishing, 2003",Allen Jack + Cottier|Architecture - Australia,720.922 AJC,Sydney,20/01/2009,
"Allianz Arena, Munich Germany","Roll, Karl-Fritz|Siteco Lighting",,Herzog & de Meuron|Lighting - Sport|Stadiums - Football|Stadiums - Germany,725.8043 ALL Brochure,Sydney,5/07/2006,
Aluminium architecture: construction and details,"Wilquin, Hugues","Basel: Birkhauser, 2001",Aluminium in Architecture,693 WIL,Sydney,24/03/2016,
Aluminum architecture,,"Paris: Groupe Moniteur, 2008",Aluminium in Architecture,693 AMC,Sydney,22/10/2008,
Alvar Aalto,"Weston, Richard","London: Phaidon, 1995","Aalto, Alvar|Architects - Europe",720.92 AAL,Brisbane,,3/08/2007
Alvar Aalto apartments,,"Helsinki, Finland: Rakennustieto, [2005]",Architecture - Finland|Apartments|Apartment Buildings,720.92 AAL,Sydney,1/11/2007,
Alvar Aalto houses,"Jetsonen, Jari|Jetsonen, Sirkkaliisa","New York: Princeton Architectural Press, 2011","Aalto, Alvar|Houses",720.92 AAL,Brisbane,,10/16/2013
Alvar Aalto through the eyes of Shigeru Ban,"Pallasmaa, Juhani (ed)|Sato, Tomoko (ed)","London: Black Dog Publishing, 2007","Aalto, Alvar|Architects - Finland|Architects - Japan|Ban, Shigeru|Furniture",720.92 AAL,Brisbane,,6/12/2014
Alvar Aalto: designer,,"Finland: Alvar Aalto Museum, 2002","Aalto, Alvar|Architects - Finland|Furniture",720.92 AAL,Sydney,7/29/2014,
Alvaro Siza 1970-1980,,,"Architecture - Portugal|Siza, Alvaro",720.92 SIZ,Sydney,9/08/2006,
American adobes : rural houses of northern New Mexico,"Spears, Beverley","Albuquerque: University of New Mexico, 1986",Adobe Architecture|Architecture - USA,728 SPE,Brisbane,,
An architecture of invitation : Colin St John Wilson,"Menin, Sarah|Kite, Stephen","Hants, England: Ashgate, 2005","Architects - England|St John Wilson, Colin",720.0942 MEN,Sydney,8/11/2005,
An architecture of the Ozarks: the works of Marlon Blackwell,"Blackwell, Marlon","US: Princeton Architectural Press, 2005",Marlon Blackwell,720.92 BLA,Brisbane,,8/17/2021
"An industry for design : the research, designers and corporate image of B& B Italia","Mastropietro, Mario|Gorla, Rolondo","Roma : Lybra immagine, [1999]",B&B Italia|Furniture - Italy|Interior Design,729 B&B,Sydney,2/01/2011,
An open space system for Canberra: a policy review prepared for the National Capital Development Commission,"Seddon, George","Canberra: NCDC, 1977",Urban Planning - Canberra,Archives SYD01511322,Sydney,12/21/2010,
Ando: complete works,"Jodidio, Philip","London : Taschen, 2007","Ando, Tadao",720.92 AND,Sydney,7/29/2014,
Another 100 of the world's best houses,"Beaver, Robyn (ed)","Melbourne: Images Publishing, 2003",Houses,728.0994 ANO,Brisbane,,7/13/2004
Apartment design guide: tools for improving the design of residential apartment development,NSW. Department of Environment and Planning,"Sydney: NSW NSW Department of Planning and Environment, 2015",Apartment Buildings - Australia|Apartments,728.0944 APA,Sydney,1/11/2016,
Applying energy efficiency to new building work associated with existing Class 2 to 9 buildings: handbook,Australian Building Codes Board (ABCB),"Canberra: ABCB, 2007",Building Code of Australia|Energy Efficient Buildings,Reference,Sydney,12/06/2008,
Arata Isozaki,,"Japan: GA Gallery, 1983","Isozaki, Arata|Architecture - Japan",720.92 ISO,Brisbane,,
Arata Isozaki: architecture 1960-1990,,"New York : Rizzoli, 1991","Isozaki, Arata",720.92 ISO,Sydney,11/18/2013,
Arcades : the history of a building type,"Geist, Johann","Cambridge: MIT Press, 1983",Arcades|Retail Design|Shopping Centres,725.21 GEI,Sydney,2/08/2006,
Architects and copyright: a practical guide,"McDonald, Ian","Strawberry Hills, NSW: Australian Copyright Council, 2009",Copyright - Architecture- Australia,346.99 40482 MCD,Brisbane|Sydney,8/04/2010,28/09/2009
Architects' data,"Neufert, Peter","London: Blackwell, 2000",Drawing Practice|Spatial Relationships|Standard Details,690.02 NEU 2000,Brisbane|Sydney,12/02/2010,29/11/2005
Architects' data,"Neufert, Peter|Kister, Johannes","London: Blackwell, 2012",Drawing Practice|Spatial Relationships|Standard Details,690.02 NEU 2012 Reference,Brisbane|Sydney,3/26/2012,3/26/2012
Architects' data,"Neufert, Peter|Kister, Johannes","London: Blackwell, 2019",Drawing Practice|Spatial Relationships|Standard Details,690.02 NEU 2019 Reference,Brisbane|Sydney,12/02/2021,12/02/2021
Architect's essentials of negotiation,"Abramowitz, Ava J","New Jersey :John Wiley & Sons, 2009",Contracts|Negotiation in Business,720.68 ABR,Sydney,13/07/2009,
Architect's handbook of practice management,"Royal Institute of British Architects (RIBA)|Ostime, Nigel|3DReid","London : Riba Publishing, 2010",Architecture - Handbooks & Manuals|Architectural Practice - UK,720.68 RIBA,Brisbane,8/06/2012,
Architect's job book,"Royal Institute of British Architects (RIBA)|Ostime, Nigel","London : Riba Publishing, 2013",Architecture - Handbooks & Manuals|Architectural Practice - UK,720.68 RIBA,Brisbane|Sydney,15/05/2017,
Architects of Australia 1988,,"Melbourne: Images Publishing, 1988",Architecture - Australia,720.994 ARC,Brisbane|Sydney,22/02/2006,
Architects of Australia and New Zealand,Images Publishing Group,"Melbourne: Images Publishing Group, 1990",Architects - Australia|Architects - New Zealand,720.92 IMA,Brisbane,,
Architects of the new millennium,,"Melbourne: Images Publishing Group, 2000",Architects,720.922 ARC,Brisbane,,8/09/2004
"Architects, engineers and the law","Cooke, J R","Sydney: Federation Press, 2001",Architectural Practice|Contracts|Law,343.94078624 COO,Brisbane,,26/05/2008
"Architects, engineers and the law","Cooke, J R","Sydney: Federation Press, 2010",Architectural Practice|Contracts|Law,343.94078624 COO,Sydney,21/03/2018,
Architectural Competitions Handbook,Royal Australian Institute of Architects (RAIA),"Melbourne: RAIA, May 1995",Competitions,Archives SYD02543410,Sydney,25/05/2005,
Architectural detail : Dutch architects visualise their concepts,"Melet, Ed","Rotterdam: NAI Publishers, 2002",Architects - Netherlands|Architecture - Netherlands,720.948 MEL,Brisbane,,29/05/2017
"Architectural detailing: function, construction, aesthetics","Allen, Edward","New York: John Wiley & Sons, 2007",Architectural Details,720.284 ALL,Brisbane|Sydney,12/02/2010,25/02/2008
Architectural diagrams 1,"Pyo, Mi Young (ed)","Berlin: DOM Publishers, 2015",Architectural Drawing|Architectural Rendering|Diagrams,720.22 ARC,Sydney,29/04/2019,
Architectural drawing,"Dernie, David","London : Laurence King, 2010",Architectural Drawing,720.284 DER,Brisbane,,1/04/2011
Architectural geometry,"Pottman, Helmut (et al)","Exton, Pennsylvania: Bentley Institute Press, 2007",Architectural Geometry|Computer-Aided Design (CAD),721.018 ARC,Brisbane|Sydney,,4/08/2008
Architectural guide Australia,"Zahradnik, Sarah","Berlin: DOM Publishers, 2019",Architecture - Australia - 20th Century|Architecture - Australia - 21st Century,720.994 ARC,Brisbane|Sydney,,
Architectural intelligence: how designers and architects created the digital landscape,"Steenson, Molly Wright","Cambridge, Mass.: The MIT Press, 2017",Architecture and Technology|Technological Innovations|Design,721.018 STE,Brisbane|Sydney,19/03/2018,29/11/2018
Architectural logos: a handbook of architectural marks of identity,Counter-Print,"[UK]: Counter-Print, 2019",Logos (Symbols) - Design|Visual Communication,741.6 ARC,Brisbane|Sydney,13/06/2019,13/06/2019
Architectural modelmaking,"Dunn, Nick","London: Laurence King, 2010",Architectural Models|Modelmaking,720.228 DUN,Sydney,7/06/2011,
Architectural office profile and financial benchmarking report No 3.,"Colanzi, Roberto|Royal Australian Institute of Architects (RAIA)","Melbourne: RAIA, 2003",Architectural Practice,Archives SYD02543410,Sydney,25/05/2005,
Architectural reflections: studies in the philosophy and practice of architecture,"Wilson, Colin St. John","Oxford: Butterworth Architecture, 1992",Architectural Philosophy|Architectural Practice,720.1 WIL,Brisbane,,18/05/2017
Architectural research methods,"Groat, Linda|Wang, David","New York: J. Wiley, 2002",Architecture - Research|Architecture - Study and Teaching,720.1 GRO,Brisbane,,14/10/2015
Architectural research methods,"Groat, Linda|Wang, David","New York: J. Wiley, 2013",Architecture - Research|Architecture - Study and Teaching,720.1 GRO,Sydney,14/10/2015,
Architectural terracotta,NBK Ceramic,"Germany, 2007",Building Materials|Terracotta,693 NBK,Sydney,1/09/2013,
Architectural thought: the design process and the expectant eye,"Brawne, Michael","Oxford: Architectural Press, 2003",Architectural Design|Architectural Philosophy,721.01 BRA,Sydney,11/19/2013,
Architectural transformations via BIM,,,Architecture and Computers|BIM (Building Information Modelling)|Digital Architecture,721.018 ARC,Brisbane|Sydney,18/01/2010,22/01/2010
Architecture & beauty: conversations with architects about a troubled relationship,"Reisner, Yael|Watson, Fleur","Hoboken, N.J. : Wiley ; Chichester : John Wiley [distributor], c2010",Architects - Interviews|Architecture - Aesthetics,720.922 REI,Brisbane,,18/02/2011
Architecture & medicine : I M Pei designs the Kirklin ClInic,"Betsky, Aaron","USA: University of Alabama, 1992","Hospitals - USA|Pei, I M",725.51 BET,Sydney,25/05/2005,
Architecture and computers : action and reaction in the digital age,"Steele, James","London: Laurence King, 2002",Digital Architecture|Architecture and Computers|Computer-Aided Design (CAD),721.018 STE,Sydney,3/05/2007,
Architecture and design: offices,,"Singapore: Page One, 2007",Office Fitouts|Interior Design,725.2 ARC,Brisbane|Sydney,12/02/2010,12/05/2008
Architecture and health: guiding principles for practice,"Battisto, Dina (ed)|Willhelm, Jacob (ed)","New York: Routledge, 2020",Architecture and Health|Healthcare Buildings - Design and Construction|Hospitals - Design and Construction,725.51 ARC,Brisbane|Sydney,14/01/2020,14/01/2020
Architecture and interaction: human computer interaction in space and place,"Dalton, Nicholas et al","Switzerland: Springer, 2016",Data Processing|Computational Design|Architecture and Computers,721.018 ARC,Sydney,18/04/2018,
Architecture and the environment : bioclimatic building design,"Jones, David Lloyd","London: Laurence King Publishing, 1998",Energy Efficient Buildings|Houses,720.47 JON,Brisbane,,Jul-99
Architecture as material culture: the work of Francis-Jones Morehen Thorp,FJMT (Francis-Jones Morehen Thorp),"Sydney: Oro Editions, [2014]",FJMT (Francis-Jones Morehen Thorp),720.922 FJMT,Brisbane,,3/17/2015
Architecture by team: Devine Erby Mazlin,"Mazlin, Brian|Gerner, Pem","Sydney: Focus Publishing Interactive, 2008",DEM (Devine Erby Mazlin),720.922 DEM,Brisbane|Sydney,14/07/2010,10/16/2013
Architecture for achievement: building patterns for small school learning,"Bergsagel, Victoria","Mercer Island, WA : Eagle Chatter Press, 2007",Educational Buildings - USA|Schools,727 BER,Brisbane,,
Architecture for an ageing population,International Association of Homes and Services for the Ageing,"Mulgrave, Victoria: Images Publishing Group, 2014",Aged Care Facilities|Nursing Homes,725.56 ARC,Brisbane,,10/20/2014
Architecture for children,"Scott, Sarah","Camberwell, Vic: ACER Press, 2010",Schools - Primary|Architecture and Children,727.1 SCO,Sydney,12/02/2010,
Architecture for healthcare,"Boekel, Andrea (ed)","Mulgrave, Vic. : Images Publishing, 2008",Hospitals - Design and Construction|Hospitals - USA|Healthcare Buildings - Design and Construction|Healthcare Buildings - USA,725.5 ARC,Brisbane|Sydney,11/09/2008,18/07/2008
Architecture for nature,"Koster, Egbert","The Netherlands: Schuyt & Co, 1998","Behnisch, Stefan|Environmentally Sustainable Design (ESD) - Case Studies - Netherlands|Research Facilities",720.470492 KOS,Sydney,6/07/2006,
Architecture for science,"Crosbie, Michael","Mulgrave,Vic.: Images Publishing Group, 2004",Laboratories - USA|Medical Research Facilities|Research Facilities|Scientific Facilities,727.5 CRO,Sydney,6/07/2009,
Architecture for sport,"Sturzebecher, Peter|Ulrich, Sigrid","London: Wiley-Academy, 2002",Museums - Sport|Sports Buildings|Stadiums|Swimming Pools,725.8 STU,Sydney,23/02/2006,
Architecture for the books,"Crosbie, Michael","Melbourne: Images Publishing, 2003",Libraries,727.8 CRO,Sydney,25/05/2005,
Architecture in Japan,"Jodidio, Philip","Koln : Taschen, 2006","Ito, Toyo|Isozaki, Arata|Abe, Hitoshi|Ando, Tadao|Aoki, Jun|Architecture - Japan|Architecture, Modern - 20th Century|Ban, Shigeru|Endo, Shuhei|Endoh & Ikeda|Maki, Fumihiko|Hara, Hiroshi|Taniguchi & Associates|Tezuka Architects|Ito, Toyo|Watanabe, Makoto Sei|Yokomizo, Makota|Kishi, Waro|Kuma, Kengo|SANAA (Kazuyo Sejima + Ryue Nishizawa)|Sejima, Kazuyo|Nishizawa, Ryue",720.952 JOD,Brisbane,,29/05/2017
Architecture in perspective 26,American Society of Architectural Illustrators (ASAI),"USA: American Society of Architectural Illustrators, 2011",Architectural Perspectives,720.22 ARC,Sydney,11/27/2012,
Architecture in perspective 27,American Society of Architectural Illustrators (ASAI),"USA: American Society of Architectural Illustrators, 2012",Architectural Perspectives,720.22 ARC,Sydney,11/27/2012,
Architecture in the digital age : design and manufacturing,"Kolarevic, Branko (ed)","New York: Spon Press, 2003",Architecture and Computers|Computer-Aided Design (CAD)|Digital Architecture,721.018 ARC,Sydney,3/05/2007,
Architecture in transition : the Sulman Award 1932 - 1996,"Metcalf, Andrew","Sydney: Historic Houses Trust of NSW, 1997",Architecture - Australia - History,720.9944 MET,Sydney,8/08/2006,
Architecture inspired by Australia,"Buch, Joseph|Sullivan, David","New Zealand: Mint Publishing, 2008","Architecture - Australia|Grose, James|Grose Bradley|Blair, Matthew|Thompson, Shane|Fox, Danny",720.994 ARC,Brisbane|Sydney,26/11/2008,15/10/2008
Architecture materials: concrete,,"Gmbh, Koln: Evergreen, 2008",Concrete|Concrete Structures,693 ARC,Brisbane,,
Architecture now! : Vol. 2,"Jodidio, Philip","Koln: Taschen, 2002","Architecture, Modern - 20th Century",720 JOD Vol 2,Brisbane,,29/05/2017
Architecture now! : Vol. 3,"Jodidio, Philip","Koln: Taschen, 2004","Architecture, Modern - 21st Century",720 JOD Vol 3,Brisbane,,29/05/2017
Architecture now! : Vol. 4,"Jodidio, Philip","Koln: Taschen, 2006","Architecture, Modern - 21st Century",720 JOD Vol 4,Sydney,10/08/2017,
Architecture now! : Vol. 6,"Jodidio, Philip","Koln : Taschen, 2009","Architecture, Modern - 21st Century",720 JOD Vol 6,Brisbane,,29/05/2017
Architecture of Bali : a sourcebook of traditional and modern forms,"Wijaya, Made","London: Thames & Hudson, 2003",Architecture - Bali|Architecture - Indonesia,720.95986 WIJ,Brisbane|Sydney,25/05/2005,
Architecture of hospitals,"Wagenaar, Cor (ed)","Rotterdam: NAi Places, 2006",Air Quality|Evidence-based Design|Hospitals - Design and Construction - Case Studies|Hospitals - Design and Construction - Patient Perspective,725.51 WAG,Brisbane|Sydney,26/10/2006,11/14/2013
Architecture of learning : new Singapore schools,"Powell, Robert","Singapore: Akimedia, 2001",Schools - Primary|Schools - Secondary|PWD Consultants|Educational Buildings - Singapore,727.095957 POW,Sydney,25/05/2005,
Architecture of Thailand: a guide to traditional and contemporary forms,"Mertens, Brian|Nithi Satha¯pita¯non","Bangkok: Asia Books, 2005",Architecture - Thailand,720.593 NIT,Sydney,5/20/2013,
Architecture of the British Library at St Pancras,"Stonehouse, Roger|Stromberg, Gerhard","London: Spon Press, 2004",Libraries - UK,727.80942 STO,Sydney,25/05/2005,
Architecture of the future: Richard Rogers,"Powell, Kenneth|Torday, Robert (ed)","Boston, MA: Birkha¨user, 2006",Richard Rogers|Richard Rogers Partnership,720.92 ROG,Sydney,22/01/2009,
Architecture sustainable 5,"Reyes, Cesar|Pohl, Ethel Baraona|Pirillo, Claudio","Valencia, Spain : Editorial Pencil, [2007].",Sustainable Architecture|Environmentally Sustainable Design (ESD),720.47 REY,Brisbane,,11/03/2009
Architecture uncooked: the New Zealand holiday house through an architect's eye,"Cheshire, Pip|Reynolds, Patrick","Auckland: Godwit, 2008",Architecture - New Zealand|Beach Houses|Vacation Homes,728.0993 CHE,Sydney,11/03/2009,
"Architecture: form, space and order","Ching, Francis D K","Hoboken, New Jersey: Wiley, 2015",Architecture - Composition and Proportion|Spatial Relationships,720.1 CHI,Brisbane|Sydney,16/07/2019,29/10/2018
Architecture: from prehistory to climate emergency,"Calder, Barnabas","London: Pelican, 2021",Architecture and Climatic Change|Sustainable Architecture|Architecture - History,720.472 CAL,Sydney,3/29/2022,
